N_REINDEER	N_ELVES	N_SANTA	AVERAGE	STANDARD_DEVIATION
9	3	1	25,324762	212,161372
9	3	2	2,073462	16,061628
9	4	1	30,454375	247,422647
9	4	2	4,952013	18,022134
9	5	1	12,467214	177,047809
9	5	2	8,000852	20,717906
9	6	1	12,227761	173,159226
9	6	2	11,486280	24,615341
9	6	3	1,044064	6,862079
9	7	1	18,062888	223,455845
9	7	2	14,240509	25,244963
9	7	3	2,623248	6,010860
9	8	1	22,575128	252,571368
9	8	2	17,532720	27,968760
9	8	3	4,541711	12,104254
9	9	1	25,598110	268,209833
9	9	2	19,758844	25,579572
9	9	3	6,172932	12,744731
9	9	4	0,845085	7,495814
9	10	1	34,469387	314,897599
9	10	2	22,504875	28,920498
9	10	3	7,579580	13,111875
9	10	4	1,881785	5,213409
9	11	1	39,915716	342,774201
9	11	2	26,373470	33,422059
9	11	3	9,661105	14,891800
9	11	4	3,074599	5,855940
9	12	1	12,081649	182,186190
9	12	2	28,794315	32,354609
9	12	3	11,288992	16,526763
9	12	4	4,259203	8,461212
9	12	5	0,846293	9,733620
9	13	1	11,206228	170,455822
9	13	2	32,755223	38,920795
9	13	3	12,845834	15,013632
9	13	4	5,519561	12,651957
9	13	5	1,515389	4,257893
9	14	1	11,042353	169,698640
9	14	2	35,456325	40,229113
9	14	3	14,521821	15,626598
9	14	4	6,567713	10,536247
9	14	5	2,442059	6,195800
9	15	1	11,123819	169,315168
9	15	2	38,256997	39,933827
9	15	3	16,300969	17,772068
9	15	4	7,849994	11,850743
9	15	5	3,426938	8,490728
9	15	6	0,738256	5,212320
