N_REINDEER	N_ELVES	N_SANTA	AVERAGE	STANDARD_DEVIATION
9	3	1	26,551204	207,203904
9	3	2	2,033061	13,449822
9	4	1	30,537349	245,980416
9	4	2	5,442783	21,720684
9	5	1	19,630436	217,677329
9	5	2	7,798421	18,281195
9	6	1	23,460814	258,090378
9	6	2	11,393704	22,824208
9	6	3	1,137343	7,922536
9	7	1	11,654083	174,548718
9	7	2	14,990512	30,805640
9	7	3	2,689112	8,704273
9	8	1	12,683559	185,838684
9	8	2	17,382783	25,882347
9	8	3	4,418688	8,737450
9	9	1	13,503379	192,776999
9	9	2	20,258986	28,836863
9	9	3	6,258028	10,673487
9	9	4	0,940946	7,934519
9	10	1	26,662349	270,221125
9	10	2	25,009161	36,811304
9	10	3	8,303350	14,477101
9	10	4	2,273285	7,315749
9	11	1	51,325826	388,130144
9	11	2	26,048445	33,838581
9	11	3	9,632663	13,108398
9	11	4	3,366872	9,083269
9	12	1	49,897151	385,764954
9	12	2	30,172417	35,797836
9	12	3	12,256379	15,290703
9	12	4	4,950538	11,638636
9	12	5	1,440661	13,126606
9	13	1	52,144897	390,415039
9	13	2	33,917834	41,306127
9	13	3	13,677391	15,712368
9	13	4	6,277160	11,018959
9	13	5	1,925116	3,479842
9	14	1	44,096142	365,902630
9	14	2	36,558908	41,570001
9	14	3	15,271572	16,284020
9	14	4	7,180945	8,130543
9	14	5	2,977566	5,343022
9	15	1	46,631154	378,897816
9	15	2	39,891852	43,090541
9	15	3	16,040736	20,354052
9	15	4	7,656418	8,398718
9	15	5	3,566395	13,141807
9	15	6	0,748038	6,063868
