N_REINDEER	N_ELVES	N_SANTA	AVERAGE	STANDARD_DEVIATION
9	3	1	2,392009	38,350158
9	3	2	3,317210	21,847456
9	4	1	1,561235	1,473503
9	4	2	6,707267	25,510135
9	5	1	1,616854	1,344615
9	5	2	9,930762	24,693232
9	6	1	2,564534	45,550000
9	6	2	13,407348	32,253472
9	6	3	2,307118	13,711421
9	7	1	1,332060	2,044390
9	7	2	16,845123	33,017499
9	7	3	4,313660	15,053824
9	8	1	1,166399	1,246156
9	8	2	20,048574	34,046677
9	8	3	7,083912	19,645252
9	9	1	1,219508	1,428080
9	9	2	24,366001	40,514758
9	9	3	7,838460	16,145670
9	9	4	2,933916	13,859855
9	10	1	1,199424	1,164339
9	10	2	26,991503	40,378539
9	10	3	10,662816	21,027451
9	10	4	3,828217	16,672011
9	11	1	1,822173	48,790898
9	11	2	30,665905	45,051083
9	11	3	12,271360	23,063123
9	11	4	5,568816	15,446677
9	12	1	0,987552	0,955605
9	12	2	33,979980	46,035864
9	12	3	13,558974	21,371753
9	12	4	7,035221	14,899762
9	12	5	3,249755	13,196354
9	13	1	1,074920	0,648231
9	13	2	38,143062	51,419216
9	13	3	16,845322	41,206722
9	13	4	8,878227	20,003125
9	13	5	4,337756	13,820251
9	14	1	1,243043	3,021748
9	14	2	41,738279	53,700141
9	14	3	18,741313	29,899105
9	14	4	10,130501	20,352794
9	14	5	5,646764	15,576310
9	15	1	1,084347	0,610184
9	15	2	44,391538	54,021039
9	15	3	20,646245	30,121180
9	15	4	12,088473	21,944828
9	15	5	6,860686	19,432787
9	15	6	3,920678	14,173537
