N_REINDEER	N_ELVES	N_SANTA	AVERAGE	STANDARD_DEVIATION
9	3	1	2,320727	67,635458
9	3	2	2,210478	17,090867
9	4	1	1,311496	1,443418
9	4	2	5,860732	21,732786
9	5	1	2,284709	40,002802
9	5	2	9,608835	26,688091
9	6	1	1,247078	1,405051
9	6	2	13,066144	31,416184
9	6	3	2,600000	16,533102
9	7	1	1,267843	1,397057
9	7	2	17,094533	32,379867
9	7	3	4,170869	16,187114
9	8	1	1,107144	0,528413
9	8	2	21,083906	38,955489
9	8	3	5,953557	18,020376
9	9	1	1,225176	1,210855
9	9	2	24,414509	45,707474
9	9	3	8,041251	20,122310
9	9	4	2,378422	10,223407
9	10	1	1,319155	6,579964
9	10	2	26,578562	40,029253
9	10	3	10,006522	20,670829
9	10	4	4,347056	14,800439
9	11	1	1,548216	14,668832
9	11	2	30,563240	42,844233
9	11	3	12,059157	21,290348
9	11	4	5,279841	15,030041
9	12	1	1,142622	0,693332
9	12	2	34,459470	45,052124
9	12	3	14,348806	21,757410
9	12	4	6,787867	16,081157
9	12	5	3,101322	14,218511
9	13	1	1,077793	0,600748
9	13	2	38,053263	52,242008
9	13	3	16,705807	27,966066
9	13	4	9,097045	22,392413
9	13	5	4,391827	13,689108
9	14	1	2,092155	31,307596
9	14	2	43,173329	56,571510
9	14	3	18,027220	26,593684
9	14	4	10,298172	18,420845
9	14	5	5,536388	14,790162
9	15	1	1,666661	30,276067
9	15	2	46,124805	59,197301
9	15	3	20,165852	27,680973
9	15	4	11,581129	21,255681
9	15	5	7,085158	20,366941
9	15	6	4,103814	18,200288
